timestamp,event,value
2024-05-10T07:41:23.2661905+02:00,conn-0-speed,46
2024-05-10T07:41:23.4675898+02:00,conn-0-speed,78
2024-05-10T07:41:23.5687017+02:00,conn-0-speed,2
2024-05-10T07:41:23.6693373+02:00,conn-0-speed,73
2024-05-10T07:41:23.8700737+02:00,conn-0-speed,39
2024-05-10T07:41:23.9706619+02:00,conn-0-speed,44
2024-05-10T07:41:25.1775171+02:00,conn-0-speed,79
2024-05-10T07:41:25.2783283+02:00,conn-0-speed,4
2024-05-10T07:41:25.3784744+02:00,conn-0-speed,9
2024-05-10T07:41:25.4792+02:00,conn-0-speed,75
2024-05-10T07:41:25.5801908+02:00,conn-0-speed,6
2024-05-10T07:41:25.6812128+02:00,conn-0-speed,80
2024-05-10T07:41:25.8823141+02:00,conn-0-speed,88
2024-05-10T07:41:26.0831976+02:00,conn-0-speed,83
2024-05-10T07:41:26.2850606+02:00,conn-0-speed,90
2024-05-10T07:41:26.486867+02:00,conn-0-speed,66
2024-05-10T07:41:26.6887127+02:00,conn-0-speed,6
2024-05-10T07:41:26.7894662+02:00,conn-0-speed,4
2024-05-10T07:41:27.2923323+02:00,conn-0-speed,171
2024-05-10T07:41:27.5950088+02:00,conn-0-speed,67
2024-05-10T07:41:27.7968735+02:00,conn-0-speed,68
2024-05-10T07:41:27.9989158+02:00,conn-0-speed,36
2024-05-10T07:41:28.1999522+02:00,conn-0-speed,69
2024-05-10T07:41:28.4012632+02:00,conn-0-speed,71
2024-05-10T07:41:28.7037762+02:00,conn-0-speed,72
2024-05-10T07:41:28.9048311+02:00,conn-0-speed,73
2024-05-10T07:41:29.1064213+02:00,conn-0-speed,7
2024-05-10T07:41:29.2069961+02:00,conn-0-speed,45
2024-05-10T07:41:29.3071289+02:00,conn-0-speed,14
2024-05-10T07:41:29.4072807+02:00,conn-0-speed,61
2024-05-10T07:41:29.6090495+02:00,conn-0-speed,75
2024-05-10T07:41:29.7093897+02:00,conn-0-speed,1
2024-05-10T07:41:29.8104756+02:00,conn-0-speed,19
2024-05-10T07:41:30.7164307+02:00,conn-0-speed,115
2024-05-10T07:41:30.9173348+02:00,conn-0-speed,53
2024-05-10T07:41:31.0177505+02:00,conn-0-speed,3
2024-05-10T07:41:31.1184569+02:00,conn-0-speed,55
2024-05-10T07:41:31.319911+02:00,conn-0-speed,60
2024-05-10T07:41:31.5206387+02:00,conn-0-speed,23
